weight_dvdl,dvdl,Run,Lambda
0.27286553,11.567,1,1
0.201838399,8.5561,1,1
0.303506581,12.8659,1,1
0.277734506,11.7734,1,1
0.447622609,18.9751,1,1
0.359457343,15.2377,1,1
0.171631404,7.2756,1,1
0.037373637,1.5843,1,1
0.096115096,4.0744,1,1
0.260299137,11.0343,1,1
0.38561157599999996,16.3464,1,1
0.081619041,3.4599,1,1
0.066997959,2.8401,1,1
0.40144046599999994,17.0174,1,1
0.035821415,1.5185,1,1
0.190911511,8.0929,1,1
0.349334874,14.8086,1,1
0.180140317,7.6363,1,1
0.397904325,16.8675,1,1
0.179463284,7.6076,1,1
-0.021464541,-0.9099,1,1
0.028786877,1.2203,1,1
0.527557324,22.3636,1,1
-0.070324149,-2.9811,1,1
0.196636804,8.3356,1,1
-0.016984799999999998,-0.72,1,1
0.105442582,4.4698,1,1
0.129516177,5.4903,1,1
0.5781106939999999,24.5066,1,1
0.046116091000000005,1.9549,1,1
0.27390349,11.611,1,1
0.101137407,4.2873,1,1
0.1361143,5.77,1,1
0.120113203,5.0917,1,1
0.09963472400000001,4.2236,1,1
0.244687275,10.3725,1,1
0.267767731,11.3509,1,1
0.113392412,4.8068,1,1
0.314546701,13.3339,1,1
0.44127925799999995,18.7062,1,1
0.028805749000000002,1.2211,1,1
0.008853327000000001,0.3753,1,1
-0.042096355,-1.7845,1,1
-0.007546441,-0.3199,1,1
0.382695852,16.2228,1,1
0.37780564499999997,16.0155,1,1
0.289836176,12.2864,1,1
0.06278950300000001,2.6617,1,1
0.34499667300000003,14.6247,1,1
0.283223899,12.0061,1,1
0.359065749,15.2211,1,1
0.610077503,25.8617,1,1
0.150395686,6.3754,1,1
0.082123867,3.4813,1,1
0.268298506,11.3734,1,1
0.112894663,4.7857,1,1
0.17090483199999998,7.2448,1,1
0.024795448999999997,1.0511,1,1
0.191524851,8.1189,1,1
0.157168375,6.6625,1,1
0.369610479,15.6681,1,1
-0.251731249,-10.6711,1,1
0.06334622699999999,2.6853,1,1
0.30446197599999997,12.9064,1,1
-0.087268846,-3.6994,1,1
0.554048894,23.4866,1,1
0.046415684,1.9676,1,1
0.002389667,0.1013,1,1
0.261318225,11.0775,1,1
0.311713542,13.2138,1,1
0.2880339,12.21,1,1
0.361323312,15.3168,1,1
0.132566364,5.6196,1,1
0.054490540999999997,2.3099,1,1
0.069156444,2.9316,1,1
0.10393282200000001,4.4058,1,1
0.111984089,4.7471,1,1
0.101505411,4.3029,1,1
0.313732846,13.2994,1,1
0.09825235,4.165,1,1
0.640145317,27.1363,1,1
0.190142477,8.0603,1,1
0.38527188,16.332,1,1
0.28096161799999997,11.9102,1,1
0.252103971,10.6869,1,1
0.133137242,5.6438,1,1
0.519444723,22.0197,1,1
0.47854202199999996,20.2858,1,1
0.020535095,0.8705,1,1
0.307934424,13.0536,1,1
0.285549873,12.1047,1,1
0.17843476,7.564,1,1
0.236275081,10.0159,1,1
0.11718804299999999,4.9677,1,1
-0.309637622,-13.1258,1,1
0.233835875,9.9125,1,1
0.15358033599999998,6.5104,1,1
0.29796529,12.631,1,1
0.328346851,13.9189,1,1
0.27199034099999997,11.5299,1,1
0.243271875,10.3125,1,1
0.42970364499999997,18.2155,1,1
0.307538112,13.0368,1,1
0.259218715,10.9885,1,1
0.072659559,3.0801,1,1
0.075858363,3.2157,1,1
0.41874609,17.751,1,1
0.232767248,9.8672,1,1
0.256182682,10.8598,1,1
0.451434753,19.1367,1,1
0.133170268,5.6452,1,1
0.001495606,0.0634,1,1
0.18141417699999998,7.6903,1,1
0.038187492,1.6188,1,1
0.286387318,12.1402,1,1
0.127871954,5.4206,1,1
0.083374137,3.5343,1,1
0.274608831,11.6409,1,1
-0.12325774999999999,-5.225,1,1
0.260832271,11.0569,1,1
0.028555695,1.2105,1,1
0.446886601,18.9439,1,1
0.198759904,8.4256,1,1
0.279182932,11.8348,1,1
0.178021935,7.5465,1,1
0.217506877,9.2203,1,1
-0.238466592,-10.1088,1,1
0.134385153,5.6967,1,1
0.22728964999999998,9.635,1,1
0.610992795,25.9005,1,1
0.6440565389999999,27.3021,1,1
0.384578334,16.3026,1,1
0.174504666,7.3974,1,1
0.22772606499999998,9.6535,1,1
0.14991445,6.355,1,1
0.258459117,10.9563,1,1
0.185285296,7.8544,1,1
0.275599611,11.6829,1,1
0.055049624000000005,2.3336,1,1
0.261712178,11.0942,1,1
0.274448419,11.6341,1,1
0.173030291,7.3349,1,1
-0.027961227,-1.1853,1,1
0.005350212,0.2268,1,1
0.185672172,7.8708,1,1
0.14621789699999999,6.1983,1,1
0.057017029999999996,2.417,1,1
0.03977274,1.686,1,1
0.24344172299999997,10.3197,1,1
0.282650662,11.9818,1,1
0.541777376,22.9664,1,1
0.124357044,5.2716,1,1
0.397045649,16.8311,1,1
0.124420737,5.2743,1,1
0.22395874200000002,9.4938,1,1
0.085468929,3.6231,1,1
0.095414473,4.0447,1,1
0.312192419,13.2341,1,1
0.154118188,6.5332,1,1
0.111566546,4.7294,1,1
-0.09436471800000001,-4.0002,1,1
0.293664833,12.4487,1,1
0.134177561,5.6879,1,1
0.48217960000000004,20.44,1,1
-0.018897949,-0.8011,1,1
0.280223251,11.8789,1,1
-0.174808977,-7.4103,1,1
0.072150015,3.0585,1,1
0.24588564699999998,10.4233,1,1
0.178715481,7.5759,1,1
0.352304855,14.9345,1,1
0.367454353,15.5767,1,1
0.264906264,11.2296,1,1
0.184740367,7.8313,1,1
0.17013815699999998,7.2123,1,1
0.12206173699999999,5.1743,1,1
0.31808756,13.484,1,1
-0.261271045,-11.0755,1,1
0.076693449,3.2511,1,1
0.101170433,4.2887,1,1
0.42165473700000006,17.8743,1,1
0.012231414999999999,0.5185,1,1
0.261945719,11.1041,1,1
0.083591165,3.5435,1,1
0.186304384,7.8976,1,1
0.34876399599999997,14.7844,1,1
0.256291196,10.8644,1,1
0.12161352700000001,5.1553,1,1
0.111767061,4.7379,1,1
0.178095064,7.5496,1,1
0.26310870599999997,11.1534,1,1
-0.14200000499999998,-6.0195,1,1
0.303770789,12.8771,1,1
0.41278253800000003,17.4982,1,1
-0.09944128599999999,-4.2154,1,1
0.17013815699999998,7.2123,1,1
0.14763801499999998,6.2585,1,1
0.33325593000000003,14.127,1,1
-0.000455287,-0.0193,1,1
0.134621053,5.7067,1,1
-0.12468134599999998,-2.3318,1,2
0.963080252,18.0116,1,2
0.598997675,11.2025,1,2
0.601034882,11.2406,1,2
-0.157634907,-2.9481,1,2
0.030424429999999995,0.569,1,2
0.359206113,6.7179,1,2
0.35566639899999997,6.6517,1,2
0.40298200199999995,7.5366,1,2
-0.466830529,-8.7307,1,2
-0.17784122,-3.326,1,2
-0.070297009,-1.3147,1,2
-0.020949546,-0.3918,1,2
-0.8071938139999999,-15.0962,1,2
0.35842010399999996,6.7032,1,2
